time,temperature_2m_mean
01/01/2023,17.9
01/02/2023,18
01/03/2023,17.4
01/04/2023,17.4
01/05/2023,17.7
01/06/2023,17.3
01/07/2023,16.4
01/08/2023,15.2
01/09/2023,15.5
01/10/2023,15.9
01/11/2023,16.1
01/12/2023,16.7
01/13/2023,16.8
01/14/2023,17.4
01/15/2023,17.1
01/16/2023,17.2
01/17/2023,17.2
01/18/2023,17.1
01/19/2023,16.6
01/20/2023,16.8
01/21/2023,16.7
01/22/2023,17.6
01/23/2023,17.3
01/24/2023,16.2
01/25/2023,14.2
01/26/2023,14.4
01/27/2023,15.6
01/28/2023,14.8
01/29/2023,14
01/30/2023,14.9
01/31/2023,15.3
02/01/2023,16.9
02/02/2023,18
02/03/2023,17.4
02/04/2023,16.7
02/05/2023,16.6
02/06/2023,17.1
02/07/2023,17.4
02/08/2023,17.8
02/09/2023,17.4
02/10/2023,17.1
02/11/2023,17.3
02/12/2023,17.7
02/13/2023,17.1
02/14/2023,16.8
02/15/2023,16.5
02/16/2023,16.2
02/17/2023,14.7
02/18/2023,16.8
02/19/2023,17.3
02/20/2023,17.3
02/21/2023,16.4
02/22/2023,16
02/23/2023,16.7
02/24/2023,17.1
02/25/2023,17.8
02/26/2023,17.3
02/27/2023,16.2
02/28/2023,15.1
03/01/2023,16.4
03/02/2023,16.5
03/03/2023,15.1
03/04/2023,14.8
03/05/2023,14.1
03/06/2023,14.3
03/07/2023,14.3
03/08/2023,15.2
03/09/2023,16.1
03/10/2023,16
03/11/2023,15.7
03/12/2023,15.5
03/13/2023,15.7
03/14/2023,16.1
03/15/2023,16.5
03/16/2023,17.2
03/17/2023,17.6
03/18/2023,17.9
03/19/2023,17.9
03/20/2023,18.5
03/21/2023,18.8
03/22/2023,20
03/23/2023,19.6
03/24/2023,19.6
03/25/2023,19.2
03/26/2023,18.7
03/27/2023,18.7
03/28/2023,18.3
03/29/2023,17.6
03/30/2023,18.2
03/31/2023,18.3
04/01/2023,18.4
04/02/2023,18.9
04/03/2023,17.6
04/04/2023,18
04/05/2023,18.5
04/06/2023,18.4
04/07/2023,18.7
04/08/2023,18.7
04/09/2023,18.6
04/10/2023,17.7
04/11/2023,18.5
04/12/2023,19.2
04/13/2023,19.5
04/14/2023,19
04/15/2023,18.1
04/16/2023,18.5
04/17/2023,18.6
04/18/2023,18.6
04/19/2023,18.9
04/20/2023,18.9
04/21/2023,19.1
04/22/2023,19.5
04/23/2023,19.2
04/24/2023,18.8
04/25/2023,18.8
04/26/2023,18.6
04/27/2023,18.6
04/28/2023,20
04/29/2023,20
04/30/2023,19.1
05/01/2023,20
05/02/2023,20.4
05/03/2023,20.2
05/04/2023,20
05/05/2023,19.6
05/06/2023,19.2
05/07/2023,19.9
05/08/2023,19.1
05/09/2023,19.3
05/10/2023,18.7
05/11/2023,18.8
05/12/2023,18.7
05/13/2023,19.1
05/14/2023,19.2
05/15/2023,19.5
05/16/2023,19.2
05/17/2023,19.3
05/18/2023,19.6
05/19/2023,19
05/20/2023,18.9
05/21/2023,18.9
05/22/2023,18.8
05/23/2023,19.2
05/24/2023,19.3
05/25/2023,18.7
05/26/2023,19.6
05/27/2023,18.8
05/28/2023,19
05/29/2023,18.8
05/30/2023,17.5
05/31/2023,17.7
06/01/2023,18.3
06/02/2023,19
06/03/2023,19.3
06/04/2023,18.9
06/05/2023,19.1
06/06/2023,19
06/07/2023,19.1
06/08/2023,18.9
06/09/2023,18.8
06/10/2023,18.7
06/11/2023,18.1
06/12/2023,18.1
06/13/2023,18.3
06/14/2023,19
06/15/2023,19.7
06/16/2023,19.4
06/17/2023,19.7
06/18/2023,19
06/19/2023,19.1
06/20/2023,19.2
06/21/2023,19.1
06/22/2023,19
06/23/2023,19.4
06/24/2023,19.3
06/25/2023,19
06/26/2023,19.3
06/27/2023,19
06/28/2023,19.2
06/29/2023,18.9
06/30/2023,19.2
07/01/2023,19.3
07/02/2023,18.9
07/03/2023,19.7
07/04/2023,20.1
07/05/2023,20.3
07/06/2023,19.6
07/07/2023,19
07/08/2023,19
07/09/2023,19.2
07/10/2023,19.3
07/11/2023,18.7
07/12/2023,18.9
07/13/2023,18.5
07/14/2023,18.2
07/15/2023,18
07/16/2023,18.3
07/17/2023,18.2
07/18/2023,19.2
07/19/2023,18.8
07/20/2023,19.2
07/21/2023,19.3
07/22/2023,19
07/23/2023,19.3
07/24/2023,18.6
07/25/2023,18.1
07/26/2023,17.3
07/27/2023,18
07/28/2023,18.8
07/29/2023,18.6
07/30/2023,18.2
07/31/2023,18.6
08/01/2023,18.4
08/02/2023,18.2
08/03/2023,18
08/04/2023,18.3
08/05/2023,18.1
08/06/2023,18.3
08/07/2023,18.5
08/08/2023,18.9
08/09/2023,18.6
08/10/2023,18.4
08/11/2023,18.7
08/12/2023,19.1
08/13/2023,19
08/14/2023,18.7
08/15/2023,18.9
08/16/2023,18.6
08/17/2023,18.4
08/18/2023,19.1
08/19/2023,19.1
08/20/2023,18.9
08/21/2023,18.7
08/22/2023,18.7
08/23/2023,18.6
08/24/2023,18.3
08/25/2023,18
08/26/2023,17.6
08/27/2023,17.4
08/28/2023,17.9
08/29/2023,17.5
08/30/2023,18
08/31/2023,18.3
09/01/2023,18.3
09/02/2023,18.2
09/03/2023,18.4
09/04/2023,18.6
09/05/2023,18.4
09/06/2023,18.6
09/07/2023,19
09/08/2023,18.6
09/09/2023,18.7
09/10/2023,18.7
09/11/2023,18.5
09/12/2023,18.2
09/13/2023,18.5
09/14/2023,18.4
09/15/2023,18.6
09/16/2023,18.6
09/17/2023,18.4
09/18/2023,19
09/19/2023,19
09/20/2023,18.9
09/21/2023,18.9
09/22/2023,18.8
09/23/2023,19.1
09/24/2023,18.9
09/25/2023,18.7
09/26/2023,18.7
09/27/2023,18.4
09/28/2023,18.7
09/29/2023,19.1
09/30/2023,19.4
10/01/2023,19
10/02/2023,18.7
10/03/2023,18.3
10/04/2023,18.4
10/05/2023,17.9
10/06/2023,18.1
10/07/2023,18.5
10/08/2023,18.9
10/09/2023,19.5
10/10/2023,19.6
10/11/2023,19.4
10/12/2023,19.2
10/13/2023,19.4
10/14/2023,18.5
10/15/2023,18.5
10/16/2023,18.7
10/17/2023,18.6
10/18/2023,19.2
10/19/2023,19
10/20/2023,18.9
10/21/2023,18.7
10/22/2023,18.5
10/23/2023,18
10/24/2023,18.6
10/25/2023,19
10/26/2023,18.8
10/27/2023,18.1
10/28/2023,18.2
10/29/2023,18.3
10/30/2023,18.2
10/31/2023,18.7
11/01/2023,17.9
11/02/2023,17.7
11/03/2023,18
11/04/2023,18.6
11/05/2023,19.4
11/06/2023,19.5
11/07/2023,18.3
11/08/2023,19.2
11/09/2023,18.9
11/10/2023,19
11/11/2023,19.3
11/12/2023,18.7
11/13/2023,18.5
11/14/2023,19.2
11/15/2023,19.3
11/16/2023,18.6
11/17/2023,18.2
11/18/2023,16.8
11/19/2023,16.4
11/20/2023,16
11/21/2023,16.6
11/22/2023,17.1
11/23/2023,17.7
11/24/2023,19
11/25/2023,18.2
11/26/2023,18.6
11/27/2023,18.3
11/28/2023,18.5
11/29/2023,19.2
11/30/2023,18.9
12/01/2023,19
12/02/2023,19
12/03/2023,18.6
12/04/2023,18.7
12/05/2023,18.2
12/06/2023,18
12/07/2023,18.3
12/08/2023,18.4
12/09/2023,18.5
12/10/2023,18.3
12/11/2023,18.6
12/12/2023,18.8
12/13/2023,18.6
12/14/2023,17.5
12/15/2023,18
12/16/2023,17.5
12/17/2023,17.8
12/18/2023,18.8
12/19/2023,18.6
12/20/2023,18.4
12/21/2023,18.2
12/22/2023,17.1
12/23/2023,17.2
12/24/2023,17.5
12/25/2023,17.4
12/26/2023,18.4
12/27/2023,18.6
12/28/2023,18
12/29/2023,17.7
12/30/2023,18
12/31/2023,17.6
01/01/2024,17.5
01/02/2024,18
01/03/2024,17.7
01/04/2024,17
01/05/2024,16.8
01/06/2024,17
01/07/2024,16.8
01/08/2024,17
01/09/2024,17.9
01/10/2024,17.4
01/11/2024,16
01/12/2024,15.1
01/13/2024,15.4
01/14/2024,15.7
01/15/2024,15.9
01/16/2024,14.8
01/17/2024,14.7
01/18/2024,16
01/19/2024,16.9
01/20/2024,17.2
01/21/2024,17.7
01/22/2024,17.4
01/23/2024,16.9
01/24/2024,15.9
01/25/2024,15.2
01/26/2024,14.1
01/27/2024,14.1
01/28/2024,14.7
01/29/2024,14.9
01/30/2024,15.1
01/31/2024,15.4
02/01/2024,16.7
02/02/2024,17.2
02/03/2024,17.8
02/04/2024,18.2
02/05/2024,18
02/06/2024,17.9
02/07/2024,16.8
02/08/2024,16.2
02/09/2024,17.2
02/10/2024,17
02/11/2024,16.2
02/12/2024,15.1
02/13/2024,15.5
02/14/2024,17.4
02/15/2024,17.5
02/16/2024,18.5
02/17/2024,17.6
02/18/2024,17.3
02/19/2024,18
02/20/2024,17.6
02/21/2024,17.5
02/22/2024,18.1
02/23/2024,18.4
02/24/2024,18.4
02/25/2024,18.4
02/26/2024,18
02/27/2024,17.1
02/28/2024,16.8
02/29/2024,16.5
03/01/2024,17.1
03/02/2024,17.4
03/03/2024,17.5
03/04/2024,18.4
03/05/2024,18.6
03/06/2024,18.4
03/07/2024,18.5
03/08/2024,18.4
03/09/2024,17.8
03/10/2024,17.9
03/11/2024,18.2
03/12/2024,18.1
03/13/2024,17.7
03/14/2024,17.8
03/15/2024,18.1
03/16/2024,17.1
03/17/2024,17.9
03/18/2024,18.1
03/19/2024,17.3
03/20/2024,17.9
03/21/2024,17.4
03/22/2024,17.8
03/23/2024,17.6
03/24/2024,18.9
03/25/2024,19.2
03/26/2024,20
03/27/2024,19.6
03/28/2024,18.9
03/29/2024,19.7
03/30/2024,20.4
03/31/2024,20.4
04/01/2024,19.6
04/02/2024,19
04/03/2024,19.2
04/04/2024,20.2
04/05/2024,20.5
04/06/2024,19.8
04/07/2024,19.9
04/08/2024,20.1
04/09/2024,20.4
04/10/2024,19.6
04/11/2024,19.8
04/12/2024,19.9
04/13/2024,20.5
04/14/2024,20.8
04/15/2024,20.5
04/16/2024,20.5
04/17/2024,21.1
04/18/2024,20.6
04/19/2024,20.8
04/20/2024,21
04/21/2024,20.9
04/22/2024,20.7
04/23/2024,21.2
04/24/2024,20.4
04/25/2024,20.3
04/26/2024,20.4
04/27/2024,21.3
04/28/2024,21.2
04/29/2024,21
04/30/2024,21.5
05/01/2024,20.5
05/02/2024,21.5
05/03/2024,21.6
05/04/2024,21.2
05/05/2024,21.1
05/06/2024,21.1
05/07/2024,21.3
05/08/2024,20.8
05/09/2024,20.3
05/10/2024,20.2
05/11/2024,19.4
05/12/2024,20.4
05/13/2024,20.2
05/14/2024,19.9
05/15/2024,19.7
05/16/2024,19.3
05/17/2024,19.2
05/18/2024,19.2
05/19/2024,18.9
05/20/2024,19.3
05/21/2024,19.5
05/22/2024,19.9
05/23/2024,20.6
05/24/2024,20.4
05/25/2024,20.9
05/26/2024,19.8
05/27/2024,19.3
05/28/2024,18.9
05/29/2024,19.4
05/30/2024,19.7
05/31/2024,20.5
06/01/2024,20.9
06/02/2024,20.4
06/03/2024,19.9
06/04/2024,20
06/05/2024,19.7
06/06/2024,19.2
06/07/2024,19
06/08/2024,19.2
06/09/2024,19.5
06/10/2024,19.8
06/11/2024,19.7
06/12/2024,19.9
06/13/2024,19.8
06/14/2024,19.8
06/15/2024,19.8
06/16/2024,19.9
06/17/2024,19.7
06/18/2024,19.5
06/19/2024,19.4
06/20/2024,20.2
06/21/2024,20.3
06/22/2024,19.8
06/23/2024,19.3
06/24/2024,19.6
06/25/2024,20.4
06/26/2024,20.3
06/27/2024,20.1
06/28/2024,20.2
06/29/2024,20
06/30/2024,19.4
07/01/2024,19.9
07/02/2024,19.4
07/03/2024,20.4
07/04/2024,19.8
07/05/2024,19.3
07/06/2024,19.5
07/07/2024,19.2
07/08/2024,19
07/09/2024,19.4
07/10/2024,19.6
07/11/2024,19.7
07/12/2024,19.8
07/13/2024,19.6
07/14/2024,20
07/15/2024,19.7
07/16/2024,20
07/17/2024,19.6
07/18/2024,20.1
07/19/2024,20
07/20/2024,19.7
07/21/2024,19
07/22/2024,18.2
07/23/2024,17.9
07/24/2024,17.8
07/25/2024,18.4
07/26/2024,18.9
07/27/2024,19.3
07/28/2024,18.4
07/29/2024,18.5
07/30/2024,18.4
07/31/2024,18.8
08/01/2024,18.9
08/02/2024,18.7
08/03/2024,18.7
08/04/2024,18.8
08/05/2024,18.5
08/06/2024,18.4
08/07/2024,18.9
08/08/2024,18.7
08/09/2024,18.7
08/10/2024,18.2
08/11/2024,18.4
08/12/2024,18.6
08/13/2024,19.1
08/14/2024,18.6
08/15/2024,19
08/16/2024,19.5
08/17/2024,19.7
08/18/2024,19.8
08/19/2024,19.1
08/20/2024,19.6
08/21/2024,19.2
08/22/2024,19.9
08/23/2024,19.3
08/24/2024,19
08/25/2024,18.8
08/26/2024,18.6
08/27/2024,18.6
08/28/2024,18.8
08/29/2024,19
08/30/2024,19.5
08/31/2024,19.7
09/01/2024,19.3
09/02/2024,18.6
09/03/2024,18
09/04/2024,18.3
09/05/2024,18.3
09/06/2024,18.2
09/07/2024,18.6
09/08/2024,18.6
09/09/2024,18
09/10/2024,18.4
09/11/2024,18.7
09/12/2024,18.7
09/13/2024,18.8
09/14/2024,18.4
09/15/2024,18.3
09/16/2024,18.5
09/17/2024,17.5
09/18/2024,18.6
09/19/2024,18.5
09/20/2024,18.4
09/21/2024,17.4
09/22/2024,18
09/23/2024,19.5
09/24/2024,19
09/25/2024,19.8
09/26/2024,19.4
09/27/2024,19.1
09/28/2024,18.1
09/29/2024,17.6
